350 1364
1 2 8145
1 6 9377
1 11 5491
1 21 4865
2 3 6184
2 7 9265
2 12 1343
2 22 343
3 4 5863
3 8 910
3 13 8158
3 23 4988
4 5 9630
4 9 9570
4 14 1958
4 24 1033
5 6 9803
5 10 6108
5 15 1921
5 25 9162
6 7 7853
6 11 4906
6 16 390
6 26 9671
7 8 474
7 12 889
7 17 7271
7 27 7934
8 9 3491
8 13 8505
8 18 4992
8 28 6717
9 10 2142
9 14 7535
9 19 3213
9 29 6640
10 11 3284
10 15 738
10 20 7760
10 30 8388
11 12 3053
11 16 2598
11 21 6543
11 31 5609
12 13 7236
12 17 4415
12 22 4726
12 32 7621
13 14 5462
13 18 6040
13 23 5094
13 33 9979
14 15 7243
14 19 5768
14 24 1791
14 34 4109
15 16 2490
15 20 7965
15 25 2694
15 35 2166
16 17 2294
16 21 6621
16 26 9161
16 36 9262
17 18 4101
17 22 2188
17 27 304
17 37 466
18 19 9005
18 23 4014
18 28 5089
18 38 1168
19 20 2595
19 24 2524
19 29 7928
19 39 4675
20 21 9374
20 25 7792
20 30 321
20 40 2585
21 22 8524
21 26 5865
21 31 146
21 41 1037
22 23 9507
22 27 1076
22 32 8780
22 42 2094
23 24 3414
23 28 6773
23 33 157
23 43 7514
24 25 8716
24 29 7448
24 34 8247
24 44 6461
25 26 6671
25 30 660
25 35 8516
25 45 5313
26 27 8209
26 31 2239
26 36 2001
26 46 1015
27 28 6654
27 32 1717
27 37 4226
27 47 6613
28 29 7543
28 33 6612
28 38 9809
28 48 6561
29 30 8010
29 34 5687
29 39 6293
29 49 9782
30 31 6204
30 35 6164
30 40 7619
30 50 5942
31 32 761
31 36 4563
31 41 5945
31 51 5843
32 33 1627
32 37 4931
32 42 8276
32 52 3263
33 34 3920
33 38 7019
33 43 2861
33 53 8170
34 35 5593
34 39 9186
34 44 8015
34 54 1376
35 36 647
35 40 4992
35 45 3554
35 55 8446
36 37 7997
36 41 8939
36 46 5474
36 56 6817
37 38 510
37 42 1726
37 47 6670
37 57 9091
38 39 7855
38 43 5953
38 48 9866
38 58 1064
39 40 2299
39 44 2765
39 49 8883
39 59 7980
40 41 848
40 45 2567
40 50 4387
40 60 8622
41 42 3653
41 46 164
41 51 6096
41 61 5075
42 43 1490
42 47 4867
42 52 3919
42 62 3630
43 44 4805
43 48 4843
43 53 963
43 63 6262
44 45 3796
44 49 3629
44 54 4751
44 64 3195
45 46 6486
45 50 9816
45 55 2956
45 65 1875
46 47 3374
46 51 4064
46 56 2115
46 66 7587
47 48 4479
47 52 7449
47 57 6789
47 67 615
48 49 6470
48 53 9084
48 58 1738
48 68 1901
49 50 8856
49 54 2657
49 59 2132
49 69 9441
50 51 3307
50 55 7991
50 60 9554
50 70 7027
51 52 4801
51 56 3038
51 61 6182
51 71 7963
52 53 1128
52 57 5603
52 62 5883
52 72 4543
53 54 2399
53 58 1201
53 63 8646
53 73 6650
54 55 2812
54 59 3153
54 64 2336
54 74 5598
55 56 6545
55 60 9915
55 65 7808
55 75 460
56 57 6473
56 61 1080
56 66 7457
56 76 9458
57 58 8680
57 62 4621
57 67 6553
57 77 4780
58 59 828
58 63 3926
58 68 7873
58 78 7043
59 60 6122
59 64 1989
59 69 6406
59 79 699
60 61 2183
60 65 2256
60 70 3879
60 80 8143
61 62 3553
61 66 7796
61 71 6198
61 81 1178
62 63 9043
62 67 9405
62 72 6280
62 82 9302
63 64 3102
63 68 5263
63 73 6270
63 83 538
64 65 7288
64 69 8737
64 74 4174
64 84 6249
65 66 448
65 70 8514
65 75 3484
65 85 2636
66 67 2068
66 71 1947
66 76 5903
66 86 3486
67 68 5272
67 72 9209
67 77 4649
67 87 4894
68 69 5846
68 73 6102
68 78 9422
68 88 4653
69 70 6098
69 74 2017
69 79 8202
69 89 9201
70 71 250
70 75 1214
70 80 8487
70 90 1055
71 72 670
71 76 4498
71 81 6799
71 91 9466
72 73 305
72 77 2954
72 82 529
72 92 585
73 74 517
73 78 995
73 83 728
73 93 6649
74 75 9024
74 79 9233
74 84 137
74 94 4411
75 76 8217
75 80 8019
75 85 9436
75 95 2620
76 77 8589
76 81 3532
76 86 3662
76 96 3290
77 78 6513
77 82 3384
77 87 5657
77 97 7459
78 79 7691
78 83 8271
78 88 1903
78 98 8105
79 80 7837
79 84 3881
79 89 828
79 99 3562
80 81 7209
80 85 8886
80 90 5205
80 100 7562
81 82 6756
81 86 6688
81 91 2807
81 101 3584
82 83 3084
82 87 9639
82 92 4665
82 102 830
83 84 9181
83 88 6576
83 93 884
83 103 4635
84 85 7995
84 89 4510
84 94 1721
84 104 4770
85 86 9799
85 90 8771
85 95 7097
85 105 4486
86 87 3750
86 91 3524
86 96 3819
86 106 7931
87 88 3292
87 92 4133
87 97 6617
87 107 7931
88 89 3505
88 93 4586
88 98 824
88 108 7173
89 90 6307
89 94 7617
89 99 150
89 109 3529
90 91 8807
90 95 4253
90 100 7934
90 110 9325
91 92 4331
91 96 2708
91 101 6212
91 111 2065
92 93 1348
92 97 640
92 102 7374
92 112 7119
93 94 2625
93 98 8313
93 103 3079
93 113 4088
94 95 7850
94 99 2884
94 104 5256
94 114 5
95 96 1704
95 100 818
95 105 179
95 115 3096
96 97 203
96 101 794
96 106 6517
96 116 2347
97 98 7578
97 102 9087
97 107 3822
97 117 8768
98 99 9366
98 103 775
98 108 3987
98 118 5340
99 100 7051
99 104 5030
99 109 8256
99 119 1022
100 101 3993
100 105 4382
100 110 6341
100 120 3776
101 102 6053
101 106 654
101 111 7396
101 121 7283
102 103 8258
102 107 5532
102 112 5918
102 122 4785
103 104 6248
103 108 9107
103 113 2992
103 123 2594
104 105 5840
104 109 4874
104 114 3303
104 124 1261
105 106 5359
105 110 8171
105 115 9836
105 125 6281
106 107 3305
106 111 4158
106 116 6834
106 126 4832
107 108 3670
107 112 8082
107 117 9750
107 127 1772
108 109 3105
108 113 2216
108 118 8709
108 128 3603
109 110 9102
109 114 4860
109 119 8040
109 129 5488
110 111 5157
110 115 9707
110 120 3069
110 130 3919
111 112 8283
111 116 9164
111 121 7288
111 131 2864
112 113 6363
112 117 2613
112 122 9696
112 132 961
113 114 4961
113 118 251
113 123 2706
113 133 1317
114 115 1376
114 119 2277
114 124 2691
114 134 5763
115 116 3406
115 120 7762
115 125 8893
115 135 9308
116 117 9867
116 121 1512
116 126 1554
116 136 2158
117 118 5122
117 122 3475
117 127 9405
117 137 3984
118 119 161
118 123 98
118 128 8127
118 138 5471
119 120 2022
119 124 8199
119 129 4904
119 139 303
120 121 2817
120 125 2581
120 130 313
120 140 909
121 122 5479
121 126 7995
121 131 3690
121 141 7676
122 123 6781
122 127 8155
122 132 326
122 142 5542
123 124 6232
123 128 147
123 133 317
123 143 1698
124 125 2142
124 129 9224
124 134 9579
124 144 2377
125 126 107
125 130 8714
125 135 4478
125 145 9814
126 127 8050
126 131 9989
126 136 118
126 146 9159
127 128 2303
127 132 6051
127 137 9234
127 147 3875
128 129 5477
128 133 1998
128 138 174
128 148 5439
129 130 2160
129 134 6304
129 139 4679
129 149 155
130 131 162
130 135 5475
130 140 9593
130 150 5364
131 132 464
131 136 8925
131 141 1937
131 151 6752
132 133 2004
132 137 5565
132 142 8186
132 152 9356
133 134 4062
133 138 8167
133 143 3158
133 153 3132
134 135 5827
134 139 263
134 144 894
134 154 3314
135 136 2222
135 140 6050
135 145 4568
135 155 391
136 137 8208
136 141 2453
136 146 3999
136 156 7306
137 138 4348
137 142 2334
137 147 8956
137 157 4335
138 139 196
138 143 9183
138 148 5585
138 158 5920
139 140 1198
139 144 9096
139 149 9653
139 159 1506
140 141 7316
140 145 9447
140 150 3169
140 160 6594
141 142 3299
141 146 2559
141 151 6578
141 161 5777
142 143 6052
142 147 6878
142 152 104
142 162 3384
143 144 3374
143 148 9249
143 153 7480
143 163 2781
144 145 730
144 149 341
144 154 5067
144 164 7434
145 146 5849
145 150 9395
145 155 4136
145 165 5929
146 147 1365
146 151 5595
146 156 726
146 166 3064
147 148 135
147 152 4512
147 157 638
147 167 4463
148 149 1614
148 153 4122
148 158 6638
148 168 753
149 150 3908
149 154 1997
149 159 9151
149 169 8650
150 151 2593
150 155 4868
150 160 9305
150 170 7367
151 152 9877
151 156 7209
151 161 5548
151 171 4381
152 153 2386
152 157 2457
152 162 8667
152 172 1066
153 154 9050
153 158 9396
153 163 4754
153 173 4431
154 155 4772
154 159 7463
154 164 5505
154 174 886
155 156 3687
155 160 1431
155 165 7921
155 175 6700
156 157 2225
156 161 9297
156 166 5013
156 176 2991
157 158 9447
157 162 8162
157 167 8898
157 177 4779
158 159 3357
158 163 2814
158 168 6589
158 178 5100
159 160 9058
159 164 3690
159 169 3063
159 179 8448
160 161 2395
160 165 1209
160 170 4448
160 180 9151
161 162 194
161 166 7279
161 171 8195
161 181 3487
162 163 9346
162 167 7626
162 172 350
162 182 9503
163 164 3815
163 168 2807
163 173 7024
163 183 3242
164 165 4946
164 169 1343
164 174 180
164 184 3792
165 166 2898
165 170 5887
165 175 108
165 185 9943
166 167 4828
166 171 7797
166 176 2301
166 186 1096
167 168 2705
167 172 2463
167 177 3293
167 187 5157
168 169 4533
168 173 4010
168 178 2604
168 188 7384
169 170 3567
169 174 9799
169 179 283
169 189 3302
170 171 3571
170 175 8051
170 180 428
170 190 8506
171 172 3649
171 176 6026
171 181 7002
171 191 7178
172 173 183
172 177 9779
172 182 2651
172 192 2955
173 174 2177
173 178 2667
173 183 6038
173 193 7016
174 175 8658
174 179 5243
174 184 7607
174 194 8440
175 176 7270
175 180 5018
175 185 9266
175 195 1526
176 177 4677
176 181 1301
176 186 8662
176 196 1723
177 178 5225
177 182 5404
177 187 2419
177 197 9381
178 179 5410
178 183 60
178 188 4902
178 198 5036
179 180 3811
179 184 156
179 189 5370
179 199 1702
180 181 4771
180 185 4637
180 190 4129
180 200 9502
181 182 8593
181 186 3131
181 191 639
181 201 1481
182 183 6199
182 187 7547
182 192 8898
182 202 8896
183 184 5321
183 188 5955
183 193 6903
183 203 3333
184 185 7530
184 189 1333
184 194 613
184 204 7649
185 186 6053
185 190 7894
185 195 9558
185 205 7121
186 187 917
186 191 6732
186 196 4625
186 206 1504
187 188 1541
187 192 7925
187 197 1572
187 207 7371
188 189 5290
188 193 3925
188 198 6646
188 208 1824
189 190 6610
189 194 9140
189 199 4079
189 209 2618
190 191 4283
190 195 2965
190 200 4048
190 210 2584
191 192 8737
191 196 4579
191 201 1319
191 211 721
192 193 4319
192 197 6339
192 202 3369
192 212 5705
193 194 2514
193 198 8582
193 203 1529
193 213 4007
194 195 8362
194 199 3255
194 204 2825
194 214 5567
195 196 1968
195 200 3557
195 205 9202
195 215 857
196 197 3895
196 201 7770
196 206 2982
196 216 9126
197 198 6238
197 202 7195
197 207 4559
197 217 4167
198 199 1198
198 203 1376
198 208 5540
198 218 6276
199 200 7274
199 204 874
